commit,date,status,num_packages
c4facf4656d88dbb1360b603bd5a6a0f8e0a7acc,2015-11-04 21:07:11 +0100,dropped,23
c4facf4656d88dbb1360b603bd5a6a0f8e0a7acc,2015-11-04 21:07:11 +0100,idle,1172
c4facf4656d88dbb1360b603bd5a6a0f8e0a7acc,2015-11-04 21:07:11 +0100,in-progress,7
c4facf4656d88dbb1360b603bd5a6a0f8e0a7acc,2015-11-04 21:07:11 +0100,released,924
c4facf4656d88dbb1360b603bd5a6a0f8e0a7acc,2015-11-04 21:07:11 +0100,mispackaged,0
51532d0389ea0d01bc277e42e9eddf4f1965375d,2015-11-05 11:11:34 +0100,blocked,815
51532d0389ea0d01bc277e42e9eddf4f1965375d,2015-11-05 11:11:34 +0100,dropped,23
51532d0389ea0d01bc277e42e9eddf4f1965375d,2015-11-05 11:11:34 +0100,idle,1172
51532d0389ea0d01bc277e42e9eddf4f1965375d,2015-11-05 11:11:34 +0100,in-progress,7
51532d0389ea0d01bc277e42e9eddf4f1965375d,2015-11-05 11:11:34 +0100,released,926
51532d0389ea0d01bc277e42e9eddf4f1965375d,2015-11-05 11:11:34 +0100,mispackaged,0
a0f9869c4107b98064c5759ab3a510412b2d792f,2015-11-10 12:36:17 +0100,blocked,810
a0f9869c4107b98064c5759ab3a510412b2d792f,2015-11-10 12:36:17 +0100,dropped,23
a0f9869c4107b98064c5759ab3a510412b2d792f,2015-11-10 12:36:17 +0100,idle,1164
a0f9869c4107b98064c5759ab3a510412b2d792f,2015-11-10 12:36:17 +0100,in-progress,7
a0f9869c4107b98064c5759ab3a510412b2d792f,2015-11-10 12:36:17 +0100,released,947
a0f9869c4107b98064c5759ab3a510412b2d792f,2015-11-10 12:36:17 +0100,mispackaged,0
5910f94033c33d7111a014c28337a05a16790a85,2015-11-10 12:41:47 +0100,blocked,808
5910f94033c33d7111a014c28337a05a16790a85,2015-11-10 12:41:47 +0100,dropped,23
5910f94033c33d7111a014c28337a05a16790a85,2015-11-10 12:41:47 +0100,idle,1166
5910f94033c33d7111a014c28337a05a16790a85,2015-11-10 12:41:47 +0100,in-progress,7
5910f94033c33d7111a014c28337a05a16790a85,2015-11-10 12:41:47 +0100,released,947
5910f94033c33d7111a014c28337a05a16790a85,2015-11-10 12:41:47 +0100,mispackaged,0
1abd2265d10561eda0fc50234ed10b549e1294e6,2015-11-11 11:41:53 +0100,blocked,807
1abd2265d10561eda0fc50234ed10b549e1294e6,2015-11-11 11:41:53 +0100,dropped,23
1abd2265d10561eda0fc50234ed10b549e1294e6,2015-11-11 11:41:53 +0100,idle,1166
1abd2265d10561eda0fc50234ed10b549e1294e6,2015-11-11 11:41:53 +0100,in-progress,8
1abd2265d10561eda0fc50234ed10b549e1294e6,2015-11-11 11:41:53 +0100,released,947
1abd2265d10561eda0fc50234ed10b549e1294e6,2015-11-11 11:41:53 +0100,mispackaged,0
fe95ee529b668c01a32ad96ad3ec4f3527461b28,2015-11-11 12:06:17 +0100,blocked,807
fe95ee529b668c01a32ad96ad3ec4f3527461b28,2015-11-11 12:06:17 +0100,dropped,23
